,Best_h,Best_l,Worst_l,Worst_h
mu,-8.002,-4.965,9.131,20.836
cf,-4.136,-1.907,2.586,4.866
tf,-8.41,-5.606,10.824,25.358
ph,-4.74,-2.316,3.054,5.652
